ID;NOMBRE;APELLIDO;CONTRASEÑA;DIRECCION;EDAD;EMAIL;CURSO;NOMBRE_USUARIO
0;BORJA;OCERIN;0;JOLASTOKIETA 3;0;BORJAOCERIN;2;B;
1;JON;MARKINA;0;JOLASTOKIETA 4;0;JONMARKINA;1;J;
2;MIKEL;LANTARON;0;JOLASTOKIETA 5;0;MIKELLANTARON;3;M;
3;VIRGINIA;LEKUONA;0;JOLASTOKIETA 6;0;VIRGINIALEKUONA;4;V;
4;I�AKI;PRIETO;0;JOLASTOKIETA 7;0;I�AKIPRIETO;2;I;
5;BE�AT;BURGOA;0;JOLASTOKIETA 8;0;BE�ATBURGOA;1;BE;
6;BASTER;HOUSE;0;JOLASTOKIETA 9;0;BASTERHOUSE;3;BA;
7;JONAN;JAUREGI;0;JOLASTOKIETA 10;0;JONANJAUREGI;3;JO;
8;KIKE;PEREZ;0;JOLASTOKIETA 11;0;KIKEPEREZ;1;K;
9;ENEKO;PEREZ;0;JOLASTOKIETA 12;0;ENEKOPEREZ;1;E;
10;DIEGO;MARKINA;0;JOLASTOKIETA 13;0;DIEGOMARKINA;2;D;
11;KOLDO;OCERIN;0;JOLASTOKIETA 14;0;KOLDOOCERIN;2;KO;
12;JUAN;PRIETO;0;JOLASTOKIETA 15;0;JUANPRIETO;3;JU;
13;IKER;PRIETO;0;JOLASTOKIETA 16;0;IKERPRIETO;3;IKER;
14;GUILLE;OCERIN;0;JOLASTOKIETA 17;0;GUILLEOCERIN;4;GUI;
15;VALDI;PRIETO;0;JOLASTOKIETA 18;0;VALDIPRIETO;4;VAL;
