ID;NOMBRE;APELLIDO;CONTRASEÑA;DIRECCION;EDAD;EMAIL;SALARIO;NOMBRE_USUARIO
0;IBAI;OCERIN;0;JOLASTOKIETA3;24;IBAIOCERIN@email.com;1000;B;
1;EBAY;OCERIN;0;JOLASTOKIETA3;28;EBAYOCERIN@email.com;1200;EBAYOCERIN;
2;GARY;OCERIN;0;JOLASTOKIETA3;32;GARYOCERIN@email.com;1400;GARYOCERIN;
3;GERY;PRIETO;0;JOLASTOKIETA3;36;GERYPRIETO@email.com;1600;GERYPRIETO;
4;LEBY;PRIETO;0;JOLASTOKIETA3;40;LEBYPRIETO@email.com;1800;LEBYPRIETO;
5;LEVY;PRIETO;0;JOLASTOKIETA3;44;LEVYPRIETO@email.com;2000;LEVYPRIETO;
6;LEVI;PRIETO;0;JOLASTOKIETA3;48;LEVIPRIETO@email.com;2200;LEVIPRIETO;
7;LEBI;PRIETO;0;JOLASTOKIETA3;52;LEBIPRIETO@email.com;2400;LEBIPRIETO;
8;BORJA;BURGOA;0;JOLASTOKIETA3;56;BORJABURGOA@email.com;2600;BORJABURGOA;
9;INAKI;BURGOA;0;JOLASTOKIETA3;60;INAKIBURGOA@email.com;2800;INAKIBURGOA;
10;IBAI;BURGOA;0;JOLASTOKIETA3;64;IBAIBURGOA@email.com;3000;IBAIBURGOA;
11;EBAY;LLANOS;0;JOLASTOKIETA3;68;EBAYLLANOS@email.com;3200;EBAYLLANOS;
12;GARY;LLANOS;0;JOLASTOKIETA3;72;GARYLLANOS@email.com;3400;GARYLLANOS;
13;GERY;LLANOS;0;JOLASTOKIETA3;76;GERYLLANOS@email.com;3600;GERYLLANOS;
14;LEBY;LLANOS;0;JOLASTOKIETA3;80;LEBYLLANOS@email.com;3800;LEBYLLANOS;
15;LEVY;LLANOS;0;JOLASTOKIETA3;84;LEVYLLANOS@email.com;4000;LEVYLLANOS;
16;LEVI;GANEZA;0;JOLASTOKIETA3;88;LEVIGANEZA@email.com;4200;LEVIGANEZA;
17;LEBI;GANEZA;0;JOLASTOKIETA3;92;LEBIGANEZA@email.com;4400;LEBIGANEZA;
18;BORJA;GANEZA;0;JOLASTOKIETA3;96;BORJAGANEZA@email.com;4600;BORJAGANEZ;
